客户名称,方案名称,不同价格,价格名称,价格变化,在保情况
义乌市博沃斯人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3000, 4950",1-4类,有变化,当前在保
义乌市博沃斯人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3000, 4950",1-4类,有变化,当前在保
义乌市博沃斯人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3000, 4950",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"5000, 6000",5类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"5000, 6000",5类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"12500, 15000",5类以上,有变化,当前在保
缙云县迅利人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"4500, 6750",1-4类,有变化,当前在保
宿迁中尔企业管理有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4700, 6500",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3600, 4000",1-4类,有变化,当前在保
宿迁中尔企业管理有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4700, 6500",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3600, 4000",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易久保-雇主责任险-方案一-30万5%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易久保-雇主责任险-方案一-30万5%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易久保-雇主责任险-方案一-30万5%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易久保-雇主责任险-方案一-30万5%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易久保-雇主责任险-方案四-60万10%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易康项目-雇主责任险-方案三-100万10%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易康项目-雇主责任险-方案一-80万10%,"1350, 1500, 1800",1-4类,有变化,当前在保
安普博纳企业咨询管理（苏州）有限公司,易久保-雇主责任险-方案五-80万6%,"1350, 1500, 1800",1-4类,有变化,当前在保
福州源动立科技服务有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500, 5600",1-4类,有变化,当前在保
福州源动立科技服务有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500, 5600",1-4类,有变化,当前在保
福州源动立科技服务有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500, 5600",1-4类,有变化,当前在保
仙川企业管理（福州）有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500",1-4类,有变化,当前在保
仙川企业管理（福州）有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500",1-4类,有变化,当前在保
福州源动立科技服务有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500, 5600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"4200, 4620",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案四-60万10%,"3200, 3500",1-4类,有变化,当前在保
安徽精涂机械有限公司,易久保-雇主责任险-方案二-30万10%,"2640, 5280",1-4类,有变化,不在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3200, 3500",1-4类,有变化,当前在保
安徽美聘人力资源有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5000",1-4类,有变化,当前在保
安徽美聘人力资源有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5000",1-4类,有变化,当前在保
安徽美聘人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"4500, 5000",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"6000, 6600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"4700, 5170, 6270",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3200, 3500",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案四-60万10%,"3200, 3500",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"4200, 4620",1-4类,有变化,当前在保
江西服沃人力资源有限公司,易久保-雇主责任险-方案四-60万10%,"3200, 3500",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"1200, 1350",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"1200, 1350",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"1200, 1350",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"2000, 2250",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"2000, 2250",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"2000, 2250",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"2000, 2250",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"2000, 2250",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"2000, 2250",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3200, 3600",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案一-30万5%,"3200, 3600",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"3200, 3600",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"3200, 3600",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3200, 3600",1-4类,有变化,当前在保
湖北皖信祥源人力资源有限公司,易久保-雇主责任险-方案三-60万6%,"3200, 3600",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"9200, 10120",5类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"4200, 4620",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"4700, 5170, 6270",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"20200, 22220",5类以上,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易久保-雇主责任险-方案五-80万6%取消交通限额,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案一-80万10%取消交通限额,"3700, 4070",1-4类,有变化,当前在保
南京人人保险咨询服务有限公司,易康项目-雇主责任险-方案三-100万10%,"20200, 22220",5类以上,有变化,当前在保
中乐人力资源（上海）有限公司苏州分公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5500",1-4类,有变化,当前在保
中乐人力资源（上海）有限公司苏州分公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5500",1-4类,有变化,当前在保
美聘企业服务外包（上海）有限公司,易久保-雇主责任险-方案三-60万6%,"12500, 15000",5类以上,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
上海荟炬企业服务（集团）有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5400",1-4类,有变化,当前在保
上海荟炬企业服务（集团）有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5400",1-4类,有变化,当前在保
上海荟炬企业服务（集团）有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4950",1-4类,有变化,当前在保
上海荟炬企业服务（集团）有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4950",1-4类,有变化,当前在保
上海荟炬企业服务（集团）有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4950",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
宁波源奋人力资源有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易久保-雇主责任险-方案二-30万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易久保-雇主责任险-方案二-30万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易久保-雇主责任险-方案二-30万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
上海良储餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海荟炬企业服务（集团）有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5400",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
上海谨帮劳务派遣有限公司,易久保-雇主责任险-方案三-60万6%,"3000, 3900",1-4类,有变化,当前在保
上海蔚来劳务服务外包有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 6075",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"2000, 2200",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"2000, 2200",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易久保-雇主责任险-方案二-30万10%,"2000, 2200",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易久保-雇主责任险-方案二-30万10%,"2000, 2200",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易久保-雇主责任险-方案二-30万10%,"2000, 2200",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
苏州周周保信息科技有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 4800, 4950, 5500, 6050",1-4类,有变化,当前在保
上海衡坤劳务派遣有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5850",1-4类,有变化,当前在保
上海衡坤劳务派遣有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 5850",1-4类,有变化,当前在保
上海衡坤劳务派遣有限公司,易久保-雇主责任险-方案五-80万6%,"4500, 5850",1-4类,有变化,当前在保
上海衡坤劳务派遣有限公司,易久保-雇主责任险-方案五-80万6%,"4500, 5850",1-4类,有变化,当前在保
上海蔚观劳务派遣有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500",1-4类,有变化,当前在保
上海蔚观劳务派遣有限公司,易久保-雇主责任险-方案五-80万6%,"4000, 4500",1-4类,有变化,当前在保
上海蔚来劳务服务外包有限公司,易康项目-雇主责任险-方案一-80万10%,"4500, 6075",1-4类,有变化,当前在保
上海良储餐饮管理有限公司,易康项目-雇主责任险-方案五-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,雇主责任险-方案 A 30万保额,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,雇主责任险-方案 A 30万保额,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案五-80万10%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,雇主责任险-方案 A 30万保额,"1500, 1800, 2880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,雇主责任险-方案 A 30万保额,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,雇主责任险-方案 A 30万保额,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案一-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易康项目-雇主责任险-方案五-80万10%,"5500, 6800, 10880",1-4类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
上海良储盛利捷餐饮管理有限公司,易久保-雇主责任险-方案一-30万5%,"3000, 3600, 5760",5类,有变化,当前在保
